0,6,0,1,7,0,0,0,9,0,0,0,0,0,0,0,0
6,0,9,0,0,7,0,0,0,9,0,0,0,0,0,0,0
0,9,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,8,0,0,0,9,0,0,0,0,0
7,0,0,0,0,7,0,6,0,0,0,0,9,0,0,0,0
0,7,0,0,7,0,8,0,0,0,0,0,0,9,0,0,0
0,0,8,0,0,8,0,6,0,0,0,0,0,0,9,0,0
0,0,0,8,6,0,6,0,0,0,0,0,0,0,0,8,0
9,0,0,0,0,0,0,0,0,8,0,8,9,0,0,0,9
0,9,0,0,0,0,0,0,8,0,7,0,0,7,0,0,9
0,0,1,0,0,0,0,0,0,7,0,1,0,0,6,0,9
0,0,0,9,0,0,0,0,8,0,1,0,0,0,0,1,8
0,0,0,0,9,0,0,0,9,0,0,0,0,7,0,7,7
0,0,0,0,0,9,0,0,0,7,0,0,7,0,7,0,8
0,0,0,0,0,0,9,0,0,0,6,0,0,7,0,8,8
0,0,0,0,0,0,0,8,0,0,0,1,7,0,8,0,1
0,0,0,0,0,0,0,0,9,9,9,8,7,8,8,1,0
